"title","subtitle","place","period","publisher","periodicity","language"
"O Catao","","Rio de Janeiro, RJ","1832-","Typ. do Diário","","por"
"A Cegarrega","","Rio de Janeiro, RJ","1832-","Typ. de Torres","Desconhecida","por"
"O Censor Brasileiro","","Rio de Janeiro, RJ","1828-","Imperial Typ. de P. Plancher-Seignot","","por"
"O Chronista","","Rio de Janeiro, RJ","1836-1839","Typ. Commercial, de Silva e Irmaos","Irregular","por"
"A Chrysalida","periodico dedicado ao bello-sexo","Salvador, BA","1879-","Typ. de Gama e Filho","Desconhecida","por"
"O Cidadao Soldado","","Rio de Janeiro, RJ","1833-","Typ. Americana de I.P. da Costa","","por"
"O Colombo : periodico exclusivamente politico e liberal","","Rio de Janeiro, RJ","1868","Typ. e Lith. de BA-TA-CLAN","Irregular","por"
"O Cometa","","Rio de Janeiro, RJ","1832-","Typ. do Diário","","por"
"O Commercio de Caxias","periodico agricola, industrial, artistico e noticioso","Caxias, MA","1877-","[s.n.]","","por"
"O Commercio","","Natal, RN","1924","[s.n.]","Semanal","por"
"O Conciliador Fluminense","jornal politico, historico e miscellanico","Rio de Janeiro, RJ","1832-","Typ. Fluminense de Brito","","por"
"O Conciliador","","Rio de Janeiro, RJ","1828","Typ. do Diário","Desconhecida","por"
"A Confederacao Artistica","orgao das classes operarias","Belém, PA","1888-1889","Typ. da Confederacao","Diária","por"
"O Consequente","","Rio de Janeiro, RJ","1836-","Typ. do Diario de N.L. Vianna","","por"
"O Conservador Penedense","","Penedo, AL","1875-","Typ. do Conservador Penedense","Semanal","por"
"O Constitucional : folha politica, litteraria, e commercial","","São Luis, MA","1851-1857","Typ. da Temperanca","2 vezes por semana","por"
"O Constitucional","diario mercantil, politico, e litterario","Rio de Janeiro, RJ","1831-","Typ. de Gueffier e C.","","por"
"O Corisco","orgam imparcial, critico e noticioso","Caxias, MA","1895-","Typ. do Commerco de Caxias","2 vezes por mês","por"
"O Correio Braziliense","","Londres [Inglaterra]","1808-1822","W. Lewis, Paternoster","Mensal","por"
"O Correio da Assembleia Legislativa da Provincia do Piauhy","","Oeiras, PI","1835","Typ. de Silveira e C.","2 vezes por semana","por"
"O Correio da Camara dos Deputados","","Rio de Janeiro, RJ","1831","Typ. Imperial e Constitucional de E. Seignot-Plancher","","por"
"O Cosmorama na Bahia","","Rio de Janeiro, RJ","1849","Typ. Brasiliense","Semanal","por"
"A Cruzada","diario politico-reigioso, litterario, commercial e noticioso","São Luis, MA","1890-","Typ. da Cruzada","Diária","por"
"O Dedo de Deos","extraindo da obra O Dedo de Deos escripta pelo 65","Bahia [Salvador, BA]","1879","[s.n.]","","por"
"O Defensor da Legalidade","","Rio de Janeiro, RJ","1835-","Typ. de Thomaz B. Hunt","","por"
"O Democrata : jornal litterario noticioso e defensor dos interesses da provincia","","Aracaju, SE","1879-1884","[s.n.]","","por"
"O Democrata : orgão do Partido Republicano Democratico","","Belém, PA","1869-1890","Typ. do Liberal do Para","Diária","por"
"O Democrata","jornal litterario noticioso e defensor dos interesses da provincia","Aracaju, SE","1879-","[s.n.]","","por"
"O Despertador Municipal","","Rio de Janeiro, RJ","1850-","Typ. de Torres","","por"
"O Dezenove de Setembro","","Rio de Janeiro, RJ","1837","Typ. de J.S. de Saint-Amant","Desconhecida","por"
"O Discipulo : orgao catholico litterario","","Ouro Preto, MG","1897","Typ. do Forum","Desconhecida","por"
"O Echo : jornal critico e noticioso","","São Luis, MA","1886","Typ. de Manuel Silva e C.","2 vezes por semana","por"
"O Echo da Verdade","","[S.l.]","1860","Typ. do Progresso","Desconhecida","por"
"O Echo Social","publicacao semanal critico, humorístico e litterario","Rio de Janeiro, RJ","1879-","Typ. Particular do Echo Social","","por"
"O Economista : revista quinzenal de sciencias politicas e sociaes, financas e industrias","","Rio de Janeiro, RJ","1900-","Typ. do Jornal do Brasil","2 vezes por semana","por"
"O Ensaio","orgao estudantal","Maranhão [MA]","1890-","Typ. da Pacoltilha","","por"
"A Epoca","","Rio de Janeiro, RJ","1888-","[s.n.]","Diária","por"
"A Epocha","","São Paulo, SP","1863-","Typ. Imparcial","Semanal","por"
"A Epocha","periodico critico, litterario e noticioso","Bahia [Salvador, BA]","1878-","Typ. da Epocha","Semanal","por"
"A Epopea","","Rio de Janeiro, RJ","1900-","[s.n.]","","por"
"A Eschola","orgao estudantal","Maranhão [MA]","1891-","Typ. da Pacotilha","","por"
"O Escudo da Liberdade","","Rio de Janeiro, RJ","1841","[s.n.]","","por"
"O Espelho da Justica","","Rio de Janeiro, RJ","1830-","Typ. de Thomaz B. Hunt","","por"
"O Espelho","revista semanal de litteratura, modas, industria e artes","Rio de Janeiro, RJ","1859-","Typ. de F.P. Brito","Semanal","por"
"A Esperanca : publicaçao semanal","","Rio de Janeiro, RJ","1861-","Typ. Popular, de Azeredo Leite","Semanal","por"
"O Estado : semanal, noticioso, litterario, artistico e commercial","","Petrópolis, RJ","1897-1898","[s.n.]","Semanal","por"
"O Estado","periodico politico e noticioso","Natal, RN","1894-1895","Typ. da Companhia Libro-Typographica Natalense","Semanal","por"
"O Estimulo","semanario da revista, propaganda democratica, litteratura e critica seria","Belém, PA","1877","Typ. do Diario do Gram-Para","Semanal","por"
"A Estrella","orgao litterario e noticioso","Estrela-d'Alva [Estrela Dalva, MG]","1891-","Typ. D'A Estrella","Semanal","por"
"O Estudante","periodico critico e recreativo","Natal, RN","1860-1861","Typ. Liberal Rio Grandense","2 vezes por mês",""
"O Evangelista","","Bagagem, MG","1889-","Typ. Allianca","Desconhecida","por"
"O Exaltado","jornal litterario, politico e moral","Rio de Janeiro, RJ","1831-","Typ. de Gueffier e C.","","por"
"O Exorcista","","Rio de Janeiro, RJ","1841","Typ. Franceza","Indeterminada","por"
"O Fantoche","orgao dedicado a diversas couzas","Natal, RN","1896","Empreza Nortista","Semanal","por"
"O Federalista : orgao democratico da Uniao Republicana Espirito-Santense","","Vitória, ES","1891","[s.n.]","Desconhecida","por"
"A Filha unica da mulher do Simplicio","","Rio de Janeiro, RJ","1832-","Typ. de Thomaz B. Hunt","","por"
"O Filho do Timandro","","Rio de Janeiro, RJ","1854","Typ. do Republico","Desconhecida","por"
"O Fluminense","jornal politico e litterario","Rio de Janeiro, RJ","1835-","Typ. Liberal de J.F. de Oliveira e C.","","por"
"A Folha Nova","noticiosa, litteraria e agricola","Rio de Janeiro, RJ","1885","[s.n.]","","por"
"O Futuro : amor a verdade - odio a mentira","","Rio de Janeiro, RJ","1881","Typ. Cosmopolita","Desconhecida","por"
"O Futuro : jornal hebdomadário","","Rio de Janeiro, RJ","1869","Typ. Americana","Semanal","por"
"O Futuro atravez dos factos","","Bahia [Salvador, BA]","1878-","Typ. de Lopes Velloso","Desconhecida","por"
"O Futuro","","São Paulo, SP","1862-","Typ. Imparcial","","por"
"O Futuro","","Cachoeira, BA","1878-1880","Typ. do Americano","Semanal","por"
"O Futuro","orgao das ideas republicanas","Belém, PA","1872","Typ. Republicana","Semanal",""
"O Futuro","periodico scientifico e litterario","Recife, PE","1878","Typ. Industrial","Quinzenal","por"
"O Gavroche","","Rio de Janeiro, RJ","1889","[s.n.]","","por"
"O Gratis : publicador de annuncios","","Rio de Janeiro, RJ","1850-1852","Typ. de F. de Paula Brito","Bissemanal","por"
"O Grito da Patria contra os anarquistas","","Rio de Janeiro, RJ","1831-","Typ. de R. Ogier","","por"
"O Grito da Razao : folha imparcial","","Rio de Janeiro, RJ","1840","Imprensa Imparcial de Brito","Desconhecida","por"
"O Grito dos Oprimidos","jornal politico, e critico","Rio de Janeiro, RJ","1833-","Typ. Fluminense de Brito","","por"
"O Guarda Nacional","","Rio de Janeiro, RJ","1836-","Typ. Imparcial de Brito","","por"
"O Guaycuru","jornal politico, e de variedades","Rio de Janeiro, RJ","1837-","Typ. do Diario de N.L. Vianna","","por"
"O Homem do Povo","","Rio de Janeiro, RJ","1840-","Typ. Imparcial de Brito","","por"
"O Homem e a America","jornal da sociedade defensora da liberdade e independencia nacional","Rio de Janeiro, RJ","1831-","Typ. de Thomaz B. Hunt","","por"
"O Iman","jornal caramuru","Rio de Janeiro, RJ","1833-","Typ. de R. Ogier","","por"
"O Imparcial : orgam dedicado aos interesses da Comarca","","Santa Leopoldina, ES","1898","Typ. do Imparcial","Semanal","por"
"O Imperio","jornal politico","Rio de Janeiro, RJ","1860","Typ. do Correio da Tarde","","por"
"O Indicador da Utilidade Publica","folha politica, scientifica e littereria","Rio de Janeiro, RJ","1836","Typ. de Pereira","","por"
"O Indigena do Brasil","","Rio de Janeiro, RJ","1833","Typ. de Miranda e Carneiro","","por"
"O Itapemirinense : jornal noticioso, litterario, commercial e agricola","","Itapemirim, ES","1876","[s.n.]","Semanal","por"
"O Jornal das Senhoras","modas, litteratura, bellas-artes, theatro e critica","Rio de Janeiro, RJ","1852-1855","Typ. Parisiense","","por"
"O Jurujuba dos Farroupilhas","","Rio de Janeiro, RJ","1831","Typ. de Torres","Desconhecida","por"
"O Justiceiro Constitucional","","Rio de Janeiro, RJ","1835-","Typ. Fluminense de Brito","","por"
"O Justo Meio da Politica Verdadeira","","Rio de Janeiro, RJ","1835-","Typ. do Diario de N.L. Vianna","","por"
"O Ladrao","","Rio de Janeiro, RJ","1835-","Typ. Fluminense de Brito","","por"
"O Lafuente","","Rio de Janeiro, RJ","1833-","Typ. Paraguassu","","por"
"O Lagarto : jornal da sociedade de tatu, serio, polido, e bem educado","","Rio de Janeiro, RJ","1832-1833","Typ. do Diário","Desconhecida","por"
"A Lanterna Magica","periodico plastico-philosophico","Rio de Janeiro, RJ","1844-1845","Typ. Franceza","","por"
"A Lanterna.","","Rio de Janeiro, RJ","1876-","Imprensa Industrial","","por"
"O Leopoldinense : orgao dedicado aos interesses da comarca","","Cachoeiro de Santa Leopoldina [Santa Leopoldina, ES]","1894","[s.n.]","Semanal","por"
"O Liberal : orgam do Partido Liberal de Veado","","Espírito Santo [Vila Velha, ES]","1929","[s.n.]","Semanal","por"
"O Liberal : orgao do partido","","Vitória, ES","1885-","[s.n.]","3 vezes por semana","por"
"O Liberal Luzitano","","Rio de Janeiro, RJ","1836-","Typ. de C. Dubreuil","","por"
"A Liberdade : jornal politico, litterario e critico","","Fortaleza, CE","1864","Typ. da Liberdade","","por"
"O Lidador","orgao dos interesses do povo","Ponte Nova, MG","1892-","Typ. d'O Lidador","Semanal","por"
"O Lince","que com os attributos que lhe sao proprios ve tudo quanto he contrario a Nacao, ao Sr. D. Pedro II, e a Constituicao","Rio de Janeiro, RJ","1833","Typ. do Diário","","por"
"A Loja do Belchior","","Rio de Janeiro, RJ","1833","Typ. do Diario, de N.L. Vianna","","por"
"A Luzitania Triunfante","","Rio de Janeiro, RJ","1833-","Typ. de Miranda e Carneiro","","por"
"O Macaco","","Rio de Janeiro, RJ","1833-","Typ. do Diario de N.L. Vianna","","por"
"O Malho : chronica mensal","","[S.l.]","1880-1881","Typ. do Frias","Mensal","por"
"O Malho : orgao de uma associaçao","","São Paulo, SP","1897","Typ. de Riedel e Lemmi","Semanal","por"
"A Matraca dos Farroupilhas","","Rio de Janeiro, RJ","1832","Typ. Torres","Desconhecida","por"
"O Mercantil","","Petrópolis, RJ","1872-1892","Typ. do Mercantil","","por"
"O Mestre Joze","","Rio de Janeiro, RJ","1833-","Typ. Fluminense de Brito","","por"
"O Meteoro","","Vitória, ES","1886","Typ. da Folha da Victoria","Semanal","por"
"O Militar no Rio de Janeiro","","Rio de Janeiro, RJ","1833-","Typ. de Miranda e Carneiro","","por"
"A Mineira no Rio de Janeiro : jornal politico e litterario","","Rio de Janeiro, RJ","1833","Typ. Fluminense de Brito","Desconhecida","por"
"A Miscellania Scientifica","","Rio de Janeiro, RJ","1835","Typ. de J.A.G. Ximenez","","por"
"O Moderador, novo Correio do Brasil","jornal politico, commercial e litterario","Rio de Janeiro, RJ","1830-","Typ. de R. Ogier","","por"
"O Momento","","Cachoeiro de Itapemirim, ES","1924-","Imprensa Commercial","Quinzenal","por"
"O Monarchista","","[S.l.]","1841","Typ. Monarchica Constitucional de F. de S.N. Cascaes","Desconhecida","por"
"O Monarchista","jornal politico e noticioso","Vitória, ES","1863-","Typ. de M.A.A. Rosa","2 vezes por semana","por"
"O Monarchista","revista semanal, politica, commercio e industria","Recife, PE","1872","Typ. do Commercio","","por"
"O Mosquito","","Taubaté, SP","1897-","Typ. Penna","Semanal","por"
"O Mulato, ou O Homem de Cor","","Rio de Janeiro, RJ","1833-","Typ. Fluminense de Brito","","por"
"A Mutuca Picante","","Rio de Janeiro, RJ","1834-","Typ. de Thomaz B. Hunt","","por"
"O Nacional","","Rio de Janeiro, RJ","1832-","Typ. Brazileira","","por"
"O Neto do Simplicio","papeluxo de bom gosto","Rio de Janeiro, RJ","1831-","Typ. do Diário","","por"
"A Novidade","","Rio de Janeiro, RJ","1834-","Typ. Fluminense de Brito","","por"
"O Novo Caramuru","jornal da opposicao","Rio de Janeiro, RJ","1835-","Typ. Fluminense de Brito","","por"
"O Novo Censor","jornal analytico","Rio de Janeiro, RJ","1831-","Typ. de Gueffier e C.","","por"
"O Novo Tamoyo","","Rio de Janeiro, RJ","1831","Typ. de Gueffier e c","","por"
"O Observador das Gallerias da Assemblea Geral em 1830","","Rio de Janeiro, RJ","1830-","Typ. de Lessa e Pereira","","por"
"O Operario : periodico commercial, agricola, litterario e noticioso","","Vila de Itapemirim [Itapemirim, ES]","1879","Typ. do Operario","Desconhecida","por"
"O Pantheon","","Rio de Janeiro, RJ","1873","Typ. Academica","","por"
"O Papeleta","","Rio de Janeiro, RJ","1833","Typ. Paraguassu, de D. da F. Pinto","","por"
"O Paquete do Rio","folha commercial, politica, e de annuncios","Rio de Janeiro, RJ","1836-","Typ. de R. Ogier","","por"
"O Par de Tetas","jornal satirico e politico","Rio de Janeiro, RJ","1833-","Typ. de Gueffier e C.","","por"
"O Parlamentar","","Rio de Janeiro, RJ","1837-1839","Typ. Imperial e Constitucional, de J. Villeneuve","Irregular","por"
"O Pedagogista : orgao da Liga Espirito-Santense contra o analphabetismo","","Cachoeiro de Itapemirim, ES","1917","[s.n.]","Desconhecida","por"
"O Pelicano : orgam de propaganda da maconaria no Estado do Parana","","Curitiba, PR","1897","Typ. Modelo","Quinzenal","por"
"A Penna : orgam litterario e noticioso","","Santos, SP","1897","Typ. Brasil","Quinzenal","por"
"O Perilampo Popular","","Rio de Janeiro, RJ","1830-","Typ. de Torres","","por"
"O Pharol : orgam litterario e scientifico","","Curitiba, PR","1898-1899","Typ. Der Beobachter","Semanal","por"
"O Pharol : orgao do Partido Operario Espirito-Santense","","Vitória, ES","1890","[s.n.]","Desconhecida","por"
"O Piloto","","Rio de Janeiro, RJ","1832-","Typ. de R. Ogier","","por"
"O Planalto","","Luziânia, GO","1910-1916","","","por"
"O Povo : orgao neutral dos interesses moraes e materiaes da provincia","","Cuiabá, MT","1879-1882","Typ. do Povo","Semanal","por"
"O Povo","","Ouro Preto, MG","1849","[s.n]","","por"
"O Prestigio","","Vitória, ES","1906","[s.n.]","Número único","por"
"O Progresso : folha miscellanea","","Rio de Janeiro, RJ","1877","Typ. Fluminense","Quinzenal","por"
"O Progresso : semanario, litterario, noticioso e critico","","Vitória, ES","1915","Typ. Baldassari e Mora","Semanal","por"
"O Progresso Medico","","Rio de Janeiro, RJ","1876-1878","Typ. Academica","","por"
"O Progresso","","São Pedro do Itabapoana [Mimoso do Sul, ES]","1902-","[s.n.]","","por"
"O Propagador das Sciencias Medicas","","Rio de Janeiro, RJ","1827-","Typ. de P. Plancher-Seignot","","por"
"O Propagador de conhecimentos uteis","","Rio de Janeiro, RJ","1836-","Typ. Americana","","por"
"O Propugnador","","Rio de Janeiro, RJ","1824-","Typ. Nacional","","por"
"O Publicola","","Rio de Janeiro, RJ","1836-","Typ. de Lessa e Pereira","","por"
"A Reaccao","orgam da Liga Mato-Grossense de Livre-Pensadores -","Cuiabá, MT","1909-","[s.n.]","","por"
"O Recreio Litterario : periodico scientifico e litterario","","Oeiras, PI","1851","Typ. Liberal","Desconhecida","por"
"O Regenerador do Brasil","","Rio de Janeiro, RJ","1831-","Typ. Imperial de E. Seignot-Plancher","","por"
"O Regente","jornal politico, literario","Rio de Janeiro, RJ","1831-","Typ. de Lessa e Pereira","","por"
"O Regresso","","Rio de Janeiro, RJ","1837","Typ. do Diário","Semanal","por"
"O Regulador Brasileiro","","Rio de Janeiro, RJ","1822-1823","Imprensa Nacional","Semanal","por"
"A Republica : orgao do partido Republicano de Pernambuco","","Pernambuco","1871","Typ. Republicana Federativa Universal","","por"
"O Republicano","","Rio de Janeiro, RJ","1831-","Typ. de Thomaz B. Hunt","","por"
"O Republicano","orgao associativo, familiar, político e noticioso","Cuiabá, MT","1895-","Typ. d’O Republicano","2 vezes por semana","por"
"O Rio-Grandense","","Rio de Janeiro, RJ","1841","Typ. do Diario de N.L. Vianna","Desconhecida","por"
"O Rochedo","periodico litterario, critico e chistoso","Nazaré, BA","1879","Typ. da Opniao Liberal","Desconhecida","por"
"A Rusga da Carioca, ou A Briga Entre o Conego Ignez, Lucas, Ripanso, e o Capitao dos Muleques","","Rio de Janeiro, RJ","1835-","Typ. Patriotica, de M.J. de Lafuente","","por"
"O Rusguentinho","","Rio de Janeiro, RJ","1833-","Typ. de I.F. Torres","","por"
"O S. Matheus","orgao do partido Republicano do E. do E. Santo","São Matheus [São Mateus, ES]","1927-1928","[s.n.]","Semanal","por"
"O Sabe-Tudo","","Vitória, ES","1921","[s.n.]","Desconhecida","por"
"O Saturnino","","Rio de Janeiro, RJ","1833-","Typ. Fluminense de Brito","","por"
"A Senda","orgao da Federacao Espirita do estado do Espirito Santo","Vitória, ES","1923-","Imprensa Estadual","","por"
"A Sentinella : orgao liberal consagrado aos interesses da comarca de Sao Fidelis","","São Fidélis, RJ","1883-1885","Typ. da Sentinella","Bissemanal","por"
"O Sentinella da Liberdade no Rio de Janeiro","","Rio de Janeiro, RJ","1832-","Typ. de Gueffier e C.","","por"
"O Sentinella do Povo","","Salvador, BA","1879-","Typ. Constitucional, de Franca Guerra","","por"
"O Simplicio da Roca","jornal dos domingos","Rio de Janeiro, RJ","1831-","Typ. Imperial e Constitucional de E. Seignot-Plancher","","por"
"O Simplicio","","Rio de Janeiro, RJ","1831-","Typ. Patriotica da Astrea","","por"
"A Situacao","orgao politico, litterario, agricola, commercial e noticioso","Maragogipe, BA","1879-","[s.n.]","Desconhecida","por"
"O Sol","","Fortaleza, CE","1856-","Typ. Brasiliense de Francisco Luiz","Semanal","por"
"O Sol","periodico de noticias nacionaes, e estrangeiras, de correspondencias, e annuncios, e todo o mais que for a bem do Imperio do Brasil","Rio de Janeiro, RJ","1827-","Typ. de Torres","","por"
"O Telegrapho","periodico joco-serio","[S.l.]","1850","Typ. da Viuva Roma e Filhos","","por"
"O Tempo : periodico politico, commercial, noticioso e litterario","","Vitória, ES","1861","Typ. Liberal","2 vezes por semana","por"
"O Teo-Teo","","Pará, PA","1848-1849","Typ. de Santarem e Filho","","por"
"O Theatrinho do Senhor Severo","","Rio de Janeiro, RJ","1833","Typ. de Torres","","por"
"A Torre de Babel","","Rio de Janeiro, RJ","1833-","Typ. de R. Ogier","","por"
"O Trabalho : periodico da Sociedade Reuniao dos Expositores da Industria Brasileira","","Rio de Janeiro, RJ","1870-1873","Typ. Universal de Laemmert","Quinzenal","por"
"O Trabalho","revista historica, litteraria e scientifica de artes e officios exclusivamente consagrada aos interesses das classes operarias","Rio de Janeiro, RJ","1879","Typ. da Gazeta de Noticias","Semanal","por"
"O Trinta de Julho","jornal politico e literario","Rio de Janeiro, RJ","1832-","Typ. de R. Ogier","","por"
"A Trombeta","","Rio de Janeiro, RJ","1832-","Typ. de Thomaz B. Hunt","","por"
"O Tyranno","","Rio de Janeiro, RJ","1857-1860","Typ. de J.X. de S. Menezes","Semanal","por"
"O Valenciano","jornal da Sociedade Defensora da Liberdade e Independencia Nacional da Villa de Valenca","Rio de Janeiro, RJ","1832-","Typ. Nacional","","por"
"O Vargem=grandense","jornal agricola, commercial e noticioso","Brazópolis, MG","1892","[s.n.]","Semanal","por"
"A Verdade Constitucional","","Rio de Janeiro, RJ","1822","Typ. de Santos e Sousa","","por"
"O Verdadeiro Caramuru","","Rio de Janeiro, RJ","1838-","Typ. do Diario de N.L. Vianna","","por"
"O Verdadeiro Liberal","periodico politico litterario","Rio de Janeiro, RJ","1826-","Typ. Imperial e Nacional","","por"
"O Verdadeiro Patriota","","Rio de Janeiro, RJ","1830-","Typ. do Diário","","por"
"O Veterano","","Rio de Janeiro, RJ","1831-","Typ. Imperial e Constitucional de E. Seignot-Plancher","","por"
"A Vida Paraense","","Belém, PA","1883-","Typ. do Livro do Commercio","Desconhecida","por"
"O Vigilante","","Feira de Santana, BA","1878","[s.n.]","Semanal","por"
"A Violeta Fluminense : folha critica e litteraria dedicada ao bello sexo","","Rio de Janeiro, RJ","1858","Typ. de F.A. de Almeida","Desconhecida","por"
"A Voz da Razao","","Rio de Janeiro, RJ","1831-","Typ. de Ogier","","por"
"D. Pedro 2","","Rio de Janeiro, RJ","1833-","Typ. de Miranda e Carneiro","","por"
"D. Pedro I","","Rio de Janeiro, RJ","1833-","Typ. do Diario de N.L. Vianna","","por"
"[Falla com que S. M. o Imperador abrio a Assembléa Geral]","","Rio de Janeiro, RJ","1830","","","por"
"[Interior]","","Rio de Janeiro, RJ","1830","[s.n.]","","por"
"[O fim do tráfico de escravos e o futuro dos comerciantes]","","Rio de Janeiro, RJ","1830","[s.n.]","","por"
"[Recortes de jornais brasileiros e franceses sobre os acordos internacionais para o fim do tráfico de escravos]","","[S.l.]","[183?]","s.n.","","por"
"[Rio de Janeiro]","","Rio de Janeiro, RJ","1833","[s.n.]","","por"
"[Rio de Janeiro]","","Rio de Janeiro, RJ","1834","[s.n.]","","por"
"[Rio de Janeiro]","","Rio de Janeiro, RJ","1834","[s.n.]","","por"
"1ª Conferencia de Ensino Primario","discursos","Florianópolis, SC","1927","","Indeterminada","por"
"1ª Página","","Santos, SP","1991","Editora Giro Ltda.","Indeterminada","por"
"24 de fevereiro","homenagem ao preclaro escritor moderno Theophilo Braga","Recife, PE","1883","Typ. Mercantil","Anual","por"
"25 de Marco","orgao do Partido Conservador","Curitiba, PR","1876-","Typ. do Constitucional","Semanal","por"
"7 de Setembro","independencia ou morte, direito, justica e moralidade","Rio de Janeiro, RJ","1859","[s.n.]","","por"
"A Abelha : periodico da Sociedade Pharmaceutica Brasileira","","Rio de Janeiro, RJ","1862-","Typ. de Paula Brito","Mensal","por"
"A Abelha","folha literaria e recreativa","Rio de Janeiro, RJ","1901","","Quinzenal","por"
"A Abelha","jornal politico, literario e noticioso","Bahia [Salvador, BA]","1860-1861","Typ. de Epiphanio Pedroza","2 vezes por semana","por"
"A Abelha","semanario scientifico, industrial e litterario","Rio de Janeiro, RJ","1856-","Empresa Nacional do Diario","","por"
"A Abelha Religiosa : verdade e caridade","","Rio de Janeiro, RJ","1854-","Typ. Dous de Dezembro","Quinzenal","por"
"A abolição da escravidão","","Cachoeiro de Itapemirim, ES","1888","[s.n.]","","por"
